id_venta,id_cliente,id_producto,fecha,cantidad,precio_total
1,492,13,2023-01-24,2.0,3621.31
2,582,49,2023-01-20,2.0,356.76
3,681,23,2023-03-10,1.0,2368.03
4,272,9,2023-01-30,3.0,4146.97
5,580,17,2023-03-29,2.0,2283.52
6,867,2,2023-01-07,3.0,787.99
7,252,19,2023-02-05,1.0,4925.92
8,560,19,2023-02-07,3.0,4451.96
9,696,7,2023-03-21,3.0,3868.0
10,832,42,2023-02-21,1.0,2086.98
11,699,42,2023-01-15,2.0,960.04
12,90,20,2023-02-15,3.0,4709.99
13,446,9,2023-01-23,4.0,2685.14
14,332,17,2023-01-12,3.0,4269.16
15,139,27,2023-02-13,2.0,1743.37
16,357,47,2023-01-15,4.0,1709.68
17,601,2,2023-02-18,2.0,4928.43
18,274,36,2023-01-21,3.0,2633.07
19,19,19,2023-01-15,1.0,746.44
20,983,17,2023-01-14,2.0,1137.39
21,311,5,2023-02-11,2.0,2435.62
22,870,39,2023-03-21,1.0,260.23
23,886,18,2023-01-15,3.0,2339.54
24,978,7,2023-03-04,2.0,2123.76
25,154,17,2023-03-09,3.0,3907.71
26,390,39,2023-01-27,3.0,1806.96
27,260,36,2023-03-28,3.0,4913.62
28,620,40,2023-02-22,1.0,944.81
29,883,45,2023-02-21,3.0,2975.38
30,797,4,2023-03-04,3.0,494.01
31,571,38,2023-03-14,4.0,3682.63
32,125,25,2023-02-22,4.0,4974.03
33,354,5,2023-02-26,4.0,4104.74
34,273,30,2023-02-21,2.0,2800.73
35,619,12,2023-02-12,2.0,2449.47
36,811,4,2023-01-07,4.0,4183.4
37,245,24,2023-02-11,1.0,4683.07
38,848,29,2023-01-04,1.0,4946.57
39,450,9,2023-03-10,4.0,2012.87
40,930,4,2023-01-05,2.0,4955.04
41,247,24,2023-03-16,2.0,821.83
42,520,14,2023-03-21,1.0,1305.07
43,141,5,2023-02-10,3.0,490.63
44,362,18,2023-01-04,1.0,1395.11
45,8,42,2023-01-02,3.0,3851.29
46,478,19,2023-03-08,2.0,4271.98
47,352,12,2023-01-21,2.0,3905.52
48,996,18,2023-03-11,4.0,3173.78
49,495,17,2023-02-12,2.0,2594.13
50,606,30,2023-03-23,3.0,3558.09
51,833,24,2023-03-10,1.0,1984.63
52,427,11,2023-01-09,4.0,4214.48
53,39,35,2023-03-25,3.0,3402.09
54,593,23,2023-01-28,1.0,3504.13
55,187,17,2023-01-26,1.0,2702.88
56,596,1,2023-03-23,1.0,4431.88
57,600,15,2023-03-24,2.0,1297.47
58,754,32,2023-01-03,1.0,1936.68
59,854,9,2023-03-14,2.0,3899.33
60,93,15,2023-02-18,1.0,2489.11
61,86,28,2023-01-17,1.0,4451.61
62,44,24,2023-03-04,2.0,1764.68
63,137,35,2023-02-24,2.0,1878.18
64,421,22,2023-01-23,3.0,4449.24
65,74,27,2023-02-03,1.0,2348.63
66,548,19,2023-03-10,2.0,2604.82
67,613,45,2023-01-15,3.0,1697.18
68,988,12,2023-02-16,3.0,1419.52
69,512,20,2023-01-03,2.0,3296.95
70,156,1,2023-03-24,1.0,643.21
71,938,21,2023-01-28,3.0,4402.4
72,255,49,2023-01-03,1.0,3907.06
73,171,45,2023-01-04,1.0,994.2
74,981,1,2023-03-29,3.0,3485.4
75,728,10,2023-01-31,2.0,3033.03
76,170,47,2023-02-14,1.0,963.45
77,764,32,2023-02-28,4.0,1402.36
78,872,39,2023-02-14,2.0,2074.48
79,322,22,2023-03-16,3.0,3511.25
80,567,18,2023-02-06,4.0,3211.68
81,456,48,2023-03-06,1.0,2684.56
82,944,46,2023-01-09,2.0,3853.63
83,603,32,2023-01-17,4.0,3801.79
84,790,27,2023-03-06,2.0,3108.4
85,613,28,2023-01-03,1.0,3945.6
86,155,18,2023-01-26,2.0,1704.6
87,889,39,2023-02-22,4.0,4412.19
88,349,49,2023-01-31,2.0,3093.8
89,451,29,2023-01-26,3.0,4120.7
90,876,18,2023-01-23,3.0,2754.08
91,653,44,2023-01-30,4.0,1131.27
92,173,8,2023-01-10,2.0,2734.93
93,10,31,2023-03-13,4.0,1887.0
94,740,34,2023-03-30,2.0,3502.62
95,265,7,2023-03-05,1.0,2405.18
96,438,36,2023-01-22,3.0,4188.76
97,760,18,2023-01-15,1.0,3406.46
98,247,38,2023-02-25,2.0,3438.49
99,667,9,2023-03-15,1.0,1124.92
100,546,9,2023-01-20,4.0,4922.04
101,499,46,2023-02-16,4.0,4216.29
102,129,8,2023-03-28,2.0,3955.57
103,672,35,2023-02-22,3.0,1684.57
104,601,18,2023-02-22,4.0,2701.38
105,605,5,2023-01-01,3.0,728.66
106,327,14,2023-01-02,2.0,2715.46
107,753,28,2023-02-27,3.0,772.15
108,835,30,2023-01-19,2.0,2787.54
109,980,4,2023-03-03,1.0,3261.17
110,404,39,2023-03-19,2.0,1981.47
111,629,20,2023-03-13,1.0,2517.8
112,606,25,2023-01-12,2.0,4384.48
113,675,28,2023-01-26,4.0,587.39
114,611,12,2023-01-27,4.0,3969.08
115,625,2,2023-01-29,3.0,895.24
116,359,43,2023-01-15,2.0,231.7
117,603,14,2023-02-15,2.0,968.59
118,858,22,2023-01-01,2.0,3836.96
119,718,31,2023-03-01,3.0,2055.37
120,17,23,2023-02-26,4.0,4368.98
121,274,48,2023-01-03,2.0,2647.3
122,685,20,2023-01-18,3.0,160.14
123,116,38,2023-02-21,2.0,3597.73
124,861,4,2023-03-01,1.0,595.65
125,980,15,2023-02-03,2.0,3957.43
126,693,24,2023-03-30,1.0,882.11
127,91,25,2023-03-01,3.0,1759.96
128,82,1,2023-01-26,3.0,3818.29
129,324,7,2023-03-13,4.0,4773.45
130,961,31,2023-01-19,2.0,1888.6
131,114,12,2023-01-22,3.0,4155.53
132,769,42,2023-02-02,4.0,994.42
133,58,5,2023-02-07,2.0,4045.54
134,154,44,2023-02-04,3.0,3304.6
135,877,50,2023-03-08,1.0,1004.08
136,404,42,2023-03-24,3.0,1547.39
137,628,38,2023-01-10,1.0,702.27
138,855,12,2023-01-15,4.0,1945.69
139,266,39,2023-01-11,4.0,1058.06
140,315,18,2023-03-31,2.0,3237.79
141,715,2,2023-01-24,2.0,4972.8
142,41,10,2023-03-18,2.0,109.45
143,105,15,2023-01-04,4.0,2727.55
144,901,30,2023-01-13,1.0,2889.65
145,890,44,2023-03-14,2.0,4575.33
146,193,17,2023-02-26,2.0,2554.73
147,401,4,2023-02-06,4.0,2741.32
148,278,7,2023-02-17,1.0,2384.68
149,354,41,2023-03-12,3.0,1381.08
150,749,31,2023-01-01,2.0,327.34
151,937,39,2023-03-01,3.0,2072.86
152,733,34,2023-01-12,3.0,310.33
153,580,6,2023-01-21,2.0,2774.94
154,709,50,2023-01-11,4.0,1571.1
155,256,38,2023-02-13,2.0,2691.33
156,651,45,2023-02-27,1.0,714.77
157,824,34,2023-02-13,1.0,4666.52
158,947,44,2023-03-19,2.0,4477.88
159,661,15,2023-02-03,3.0,990.48
160,99,14,2023-01-25,1.0,1750.05
161,588,6,2023-01-04,1.0,3086.79
162,282,50,2023-03-05,2.0,523.65
163,883,37,2023-03-31,2.0,1805.11
164,403,50,2023-01-16,4.0,1293.01
165,109,32,2023-01-10,2.0,4581.81
166,700,3,2023-03-07,2.0,4269.93
167,199,3,2023-02-04,1.0,2920.17
